x y Size
2.407407407407407440e+00 3.140096618357487990e-01 2.978049408680619181e-01
4.018867924528302105e+00 3.233830845771144546e-01 2.713979472175489516e-01
1.863157894736842124e+00 2.449999999999999956e-01 2.559724906141233602e-01
2.821917808219178259e+00 2.636363636363636131e-01 2.715745045042818884e-01
2.360465116279069964e+00 2.532751091703056567e-01 2.765957446808510745e-01
2.857142857142857206e+00 3.598130841121495171e-01 2.863825893981825077e-01
2.470588235294117752e+00 3.219696969696969613e-01 3.265306122448979331e-01
2.571428571428571619e+00 2.382812500000000000e-01 3.122290853413600131e-01
2.275229357798165264e+00 2.753623188405797118e-01 3.332610189093707098e-01
1.123376623376623362e+00 1.825396825396825295e-01 2.345304000897877883e-01
7.784431137724551197e-01 1.851851851851851749e-01 1.876385991247382090e-01
7.315436241610738799e-01 2.949640287769784153e-01 1.636859035488702485e-01
6.580645161290322731e-01 2.587412587412587506e-01 1.709195224252262335e-01
6.923076923076922906e-01 1.597222222222222099e-01 1.234967315520518888e-01
7.622377622377621842e-01 2.657342657342657288e-01 1.708715315433521897e-01
7.739130434782608425e-01 2.773109243697479132e-01 1.317368461095425880e-01
6.785714285714286031e-01 2.269503546099290725e-01 1.468050548786758724e-01
7.279411764705882026e-01 3.174603174603174427e-01 1.511450547858145810e-01
8.225806451612903691e-01 2.575757575757575690e-01 1.465211295040923511e-01
8.319999999999999618e-01 2.352941176470588203e-01 1.465211295040923511e-01
7.375886524822694579e-01 2.536231884057971175e-01 1.483997032008903816e-01
8.467741935483871218e-01 2.518518518518518268e-01 1.499063377991722845e-01
7.039999999999999591e-01 2.089552238805970075e-01 1.440378004789193422e-01
7.203389830508474256e-01 1.782945736434108641e-01 1.483997032008903816e-01
8.173913043478261420e-01 2.460317460317460181e-01 1.438290715413214349e-01
8.263888888888888395e-01 2.289156626506023973e-01 1.805309251744867116e-01
7.388059701492537545e-01 2.857142857142856984e-01 1.676366069600627728e-01
6.879432624113475114e-01 1.818181818181818232e-01 1.642283603913966827e-01
6.793893129770992578e-01 1.879699248120300648e-01 1.440378004789193422e-01
4.259259259259259300e-01 3.153153153153153143e-01 1.611163134312417200e-01
4.090909090909091161e-01 1.854838709677419373e-01 1.441874501821180932e-01
5.600000000000000533e-01 1.901408450704225317e-01 1.611163134312417200e-01
5.914634146341463117e-01 2.624113475177304866e-01 1.631294780572371261e-01
7.840000000000000302e-01 2.313432835820895539e-01 1.247565723103610663e-01
7.637795275590550936e-01 2.318840579710144956e-01 1.455493343620878899e-01
6.234567901234567833e-01 3.546099290780141966e-01 1.647924437611347770e-01
6.250000000000000000e-01 2.661870503597122406e-01 1.642283603913966827e-01
7.625899280575539896e-01 2.052980132450331063e-01 1.440378004789193422e-01
6.408839779005525150e-01 2.666666666666666630e-01 1.847653055948015044e-01
6.793893129770992578e-01 1.953125000000000000e-01 1.438290715413214349e-01
6.041666666666666297e-01 1.225806451612903164e-01 1.440378004789193422e-01
5.187969924812030342e-01 1.268656716417910502e-01 1.470270304637436298e-01
5.933333333333333792e-01 3.228346456692913202e-01 1.629601687453421099e-01
6.907894736842105088e-01 2.534246575342465890e-01 1.597127752745245710e-01
7.055214723926380715e-01 3.774834437086092565e-01 1.846500313989523634e-01
1.094117647058823639e+00 5.263157894736841813e-01 1.698670779342343340e-01
8.241758241758241343e-01 2.735849056603773533e-01 1.223471085429278377e-01
7.777777777777777901e-01 2.327586206896551657e-01 1.199760071976008480e-01
6.330275229357797961e-01 1.532258064516129059e-01 1.267242193812128936e-01
